"Story","Title","Result","Date","Stability","Duration (s)"
"Open Chrome","Open chrome","ERROR","2021-06-26T12:06:26.326-05:00[America/Bogota]","0.0","26.87"
"Open Firefox","Open Firefox","ERROR","2021-06-26T12:06:54.24-05:00[America/Bogota]","0.0","57.55"
